Time,BIOZ_DATA
64.984375,-340
65.0,-337
65.015625,-330
65.03125,-330
65.046875,-333
65.0625,-327
65.078125,-321
65.09375,-317
65.109375,-318
65.125,-319
65.140625,-316
65.15625,-315
65.171875,-314
65.1875,-309
65.203125,-309
65.21875,-312
65.234375,-315
65.25,-315
65.265625,-312
65.28125,-317
65.296875,-321
65.3125,-314
65.328125,-309
65.34375,-308
65.359375,-304
65.375,-302
65.390625,-310
65.40625,-316
65.421875,-308
65.4375,-305
65.453125,-305
65.46875,-308
65.484375,-309
65.5,-308
65.515625,-310
65.53125,-311
65.546875,-309
65.5625,-309
65.578125,-315
65.59375,-322
65.609375,-328
65.625,-334
65.640625,-333
65.65625,-328
65.671875,-327
65.6875,-333
65.703125,-336
65.71875,-329
65.734375,-323
65.75,-328
65.765625,-333
65.78125,-336
65.796875,-339
65.8125,-338
65.828125,-336
65.84375,-336
65.859375,-333
65.875,-331
65.890625,-330
65.90625,-326
65.921875,-323
65.9375,-326
65.953125,-330
65.96875,-333
65.984375,-339
66.0,-340
66.015625,-338
66.03125,-339
66.046875,-340
66.0625,-343
66.078125,-353
66.09375,-353
66.109375,-346
66.125,-350
66.140625,-354
66.15625,-357
66.171875,-355
66.1875,-354
66.203125,-356
66.21875,-358
66.234375,-366
66.25,-366
66.265625,-363
66.28125,-359
66.296875,-358
66.3125,-362
66.328125,-366
66.34375,-369
66.359375,-370
66.375,-369
66.390625,-369
66.40625,-366
66.421875,-360
66.4375,-357
66.453125,-355
66.46875,-362
66.484375,-370
66.5,-365
66.515625,-359
66.53125,-357
66.546875,-365
66.5625,-364
66.578125,-355
66.59375,-350
66.609375,-352
66.625,-355
66.640625,-358
66.65625,-354
66.671875,-353
66.6875,-356
66.703125,-361
66.71875,-367
66.734375,-371
66.75,-363
66.765625,-353
66.78125,-356
66.796875,-367
66.8125,-365
66.828125,-364
66.84375,-370
66.859375,-365
66.875,-354
66.890625,-356
66.90625,-360
66.921875,-360
66.9375,-368
66.953125,-371
66.96875,-372
66.984375,-371
67.0,-369
67.015625,-371
67.03125,-374
67.046875,-372
67.0625,-369
67.078125,-374
67.09375,-384
67.109375,-381
67.125,-370
67.140625,-369
67.15625,-381
67.171875,-379
67.1875,-369
67.203125,-365
67.21875,-370
67.234375,-364
67.25,-359
67.265625,-368
67.28125,-372
67.296875,-366
67.3125,-365
67.328125,-373
67.34375,-374
67.359375,-371
67.375,-366
67.390625,-368
67.40625,-368
67.421875,-366
67.4375,-359
67.453125,-359
67.46875,-364
67.484375,-366
67.5,-364
67.515625,-366
67.53125,-371
67.546875,-370
67.5625,-365
67.578125,-359
67.59375,-352
67.609375,-358
67.625,-363
67.640625,-358
67.65625,-352
67.671875,-349
67.6875,-353
67.703125,-358
67.71875,-358
67.734375,-360
67.75,-363
67.765625,-363
67.78125,-359
67.796875,-359
67.8125,-365
67.828125,-364
67.84375,-361
67.859375,-355
67.875,-353
67.890625,-353
67.90625,-359
67.921875,-362
67.9375,-358
67.953125,-352
67.96875,-342
67.984375,-342
68.0,-337
68.015625,-334
68.03125,-335
68.046875,-337
68.0625,-339
68.078125,-339
68.09375,-334
68.109375,-329
68.125,-324
68.140625,-319
68.15625,-318
68.171875,-325
68.1875,-332
68.203125,-321
68.21875,-312
68.234375,-313
68.25,-314
68.265625,-309
68.28125,-313
68.296875,-318
68.3125,-317
68.328125,-310
68.34375,-306
68.359375,-307
68.375,-307
68.390625,-308
68.40625,-312
68.421875,-314
68.4375,-311
68.453125,-309
68.46875,-309
68.484375,-310
68.5,-315
68.515625,-321
68.53125,-322
68.546875,-328
68.5625,-332
68.578125,-332
68.59375,-329
68.609375,-330
68.625,-329
68.640625,-331
68.65625,-334
68.671875,-339
68.6875,-337
68.703125,-337
68.71875,-337
68.734375,-339
68.75,-338
68.765625,-339
68.78125,-338
68.796875,-334
68.8125,-334
68.828125,-338
68.84375,-344
68.859375,-347
68.875,-341
68.890625,-338
68.90625,-339
68.921875,-334
68.9375,-333
68.953125,-331
68.96875,-332
68.984375,-338
69.0,-343
69.015625,-341
69.03125,-339
69.046875,-339
69.0625,-339
69.078125,-339
69.09375,-347
69.109375,-355
69.125,-350
69.140625,-345
69.15625,-353
69.171875,-358
69.1875,-359
69.203125,-358
69.21875,-361
69.234375,-367
69.25,-368
69.265625,-368
69.28125,-366
69.296875,-362
69.3125,-361
69.328125,-372
69.34375,-373
69.359375,-366
69.375,-370
69.390625,-377
69.40625,-371
69.421875,-365
69.4375,-362
69.453125,-362
69.46875,-361
69.484375,-366
69.5,-375
69.515625,-376
69.53125,-368
69.546875,-362
69.5625,-364
69.578125,-367
69.59375,-362
69.609375,-361
69.625,-364
69.640625,-361
69.65625,-353
69.671875,-355
69.6875,-364
69.703125,-366
69.71875,-360
69.734375,-351
69.75,-346
69.765625,-352
69.78125,-361
69.796875,-360
69.8125,-353
69.828125,-360
69.84375,-368
69.859375,-366
69.875,-365
69.890625,-366
69.90625,-366
69.921875,-364
69.9375,-363
69.953125,-368
69.96875,-376
69.984375,-375
70.0,-376
70.015625,-375
70.03125,-374
70.046875,-377
70.0625,-377
70.078125,-379
70.09375,-380
70.109375,-379
70.125,-375
70.140625,-372
70.15625,-369
70.171875,-373
70.1875,-384
70.203125,-387
70.21875,-376
70.234375,-367
70.25,-373
70.265625,-381
70.28125,-381
70.296875,-378
70.3125,-370
70.328125,-362
70.34375,-364
70.359375,-372
70.375,-368
70.390625,-363
70.40625,-363
70.421875,-366
70.4375,-366
70.453125,-366
70.46875,-367
70.484375,-361
70.5,-358
70.515625,-360
70.53125,-361
70.546875,-364
70.5625,-366
70.578125,-360
70.59375,-360
70.609375,-361
70.625,-354
70.640625,-347
70.65625,-354
70.671875,-362
70.6875,-360
70.703125,-357
70.71875,-356
70.734375,-358
70.75,-355
70.765625,-355
70.78125,-363
70.796875,-368
